Case_Number,Vehicle No.,Body Type,Speed Exceed,Driver Safety,Pedestrian Crash,Hit/Run
10003,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Traveling in same direction with lower steady speed,No
10006,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10011,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Improper Lane Usage,Off the edge of the road on the left side,No
10012,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10015,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10016,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Unknown travel direction,No
10016,2,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,"From driveway, intended path not known",No
10016,3,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Driver Has a Driving Record or Driver`s License From More Than One State,"From driveway, intended path not known",No
10017,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,From opposite direction  over left lane line,No
10021,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Other vehicle stopped,No
10022,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
10023,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10024,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Exceeded Speed Limit","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Off the edge of the road on the right side,No
10025,3,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,From adjacent lane (same direction) over left lane line,No
10026,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10027,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10028,1,Light Pickup,No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10029,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the right side,No
10031,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10032,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
10033,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10034,1,Light Pickup,No,Improper Lane Usage,From opposite direction  over left lane line,No
10035,1,"4-door sedan, hardtop",No,Overcorrecting,Off the edge of the road on the right side,No
10036,1,5-door/4-door hatchback,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10037,1,Station Wagon (excluding van and truck based),No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10038,1,Light Pickup,"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
10039,1,Light Pickup,No,Improper Lane Usage,Object in road,No
10042,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10043,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10043,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10044,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
10045,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10047,2,Station Wagon (excluding van and truck based),No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10049,1,5-door/4-door hatchback,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10050,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10052,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10055,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
10056,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10059,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10059,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10060,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10061,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10062,2,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)",No,Driver Has a Driving Record or Driver`s License From More Than One State,Unknown,No
